timestamp,short_address,terminal_id,stage,period_ms,sequence,accepted_count,rejected_count,application_length,gateway_frame_length,rssi_dbm
2026-07-29T15:38:42.098+08:00,0xB25B,1,0,1000,0,0,0,32,49,-57
2026-07-29T15:38:43.095+08:00,0xB25B,1,0,1000,1,1,0,32,49,-57
2026-07-29T15:38:44.096+08:00,0xB25B,1,0,1000,2,2,0,32,49,-57
2026-07-29T15:38:45.098+08:00,0xB25B,1,0,1000,3,3,0,32,49,-57
2026-07-29T15:38:46.096+08:00,0xB25B,1,0,1000,4,4,0,32,49,-57
2026-07-29T15:38:47.096+08:00,0xB25B,1,0,1000,5,5,0,32,49,-57
2026-07-29T15:38:48.097+08:00,0xB25B,1,0,1000,6,6,0,32,49,-57
2026-07-29T15:38:49.097+08:00,0xB25B,1,0,1000,7,7,0,32,49,-58
2026-07-29T15:38:50.098+08:00,0xB25B,1,0,1000,8,8,0,32,49,-58
2026-07-29T15:38:51.097+08:00,0xB25B,1,0,1000,9,9,0,32,49,-58
2026-07-29T15:38:52.098+08:00,0xB25B,1,0,1000,10,10,0,32,49,-57
2026-07-29T15:38:53.097+08:00,0xB25B,1,0,1000,11,11,0,32,49,-57
2026-07-29T15:38:54.098+08:00,0xB25B,1,0,1000,12,12,0,32,49,-57
2026-07-29T15:38:55.096+08:00,0xB25B,1,0,1000,13,13,0,32,49,-58
2026-07-29T15:38:56.096+08:00,0xB25B,1,0,1000,14,14,0,32,49,-57
2026-07-29T15:38:57.096+08:00,0xB25B,1,0,1000,15,15,0,32,49,-58
2026-07-29T15:38:58.098+08:00,0xB25B,1,0,1000,16,16,0,32,49,-59
2026-07-29T15:38:59.096+08:00,0xB25B,1,0,1000,17,17,0,32,49,-58
2026-07-29T15:39:00.098+08:00,0xB25B,1,0,1000,18,18,0,32,49,-58
2026-07-29T15:39:01.098+08:00,0xB25B,1,0,1000,19,19,0,32,49,-58
2026-07-29T15:39:02.098+08:00,0xB25B,1,0,1000,20,20,0,32,49,-58
2026-07-29T15:39:03.097+08:00,0xB25B,1,0,1000,21,21,0,32,49,-58
2026-07-29T15:39:04.097+08:00,0xB25B,1,0,1000,22,22,0,32,49,-58
2026-07-29T15:39:05.102+08:00,0xB25B,1,0,1000,23,23,0,32,49,-58
2026-07-29T15:39:06.096+08:00,0xB25B,1,0,1000,24,24,0,32,49,-57
2026-07-29T15:39:07.097+08:00,0xB25B,1,0,1000,25,25,0,32,49,-58
2026-07-29T15:39:08.095+08:00,0xB25B,1,0,1000,26,26,0,32,49,-58
2026-07-29T15:39:09.100+08:00,0xB25B,1,0,1000,27,27,0,32,49,-58
2026-07-29T15:39:10.097+08:00,0xB25B,1,0,1000,28,28,0,32,49,-58
2026-07-29T15:39:11.096+08:00,0xB25B,1,0,1000,29,29,0,32,49,-58
2026-07-29T15:39:12.098+08:00,0xB25B,1,0,1000,30,30,0,32,49,-58
2026-07-29T15:39:13.097+08:00,0xB25B,1,0,1000,31,31,0,32,49,-59
2026-07-29T15:39:14.098+08:00,0xB25B,1,0,1000,32,32,0,32,49,-58
2026-07-29T15:39:15.098+08:00,0xB25B,1,0,1000,33,33,0,32,49,-60
2026-07-29T15:39:16.095+08:00,0xB25B,1,0,1000,34,34,0,32,49,-58
2026-07-29T15:39:17.097+08:00,0xB25B,1,0,1000,35,35,0,32,49,-59
2026-07-29T15:39:18.098+08:00,0xB25B,1,0,1000,36,36,0,32,49,-58
2026-07-29T15:39:19.097+08:00,0xB25B,1,0,1000,37,37,0,32,49,-58
2026-07-29T15:39:20.096+08:00,0xB25B,1,0,1000,38,38,0,32,49,-58
2026-07-29T15:39:21.098+08:00,0xB25B,1,0,1000,39,39,0,32,49,-58
2026-07-29T15:39:22.097+08:00,0xB25B,1,0,1000,40,40,0,32,49,-58
2026-07-29T15:39:23.098+08:00,0xB25B,1,0,1000,41,41,0,32,49,-58
2026-07-29T15:39:24.098+08:00,0xB25B,1,0,1000,42,42,0,32,49,-58
2026-07-29T15:39:25.098+08:00,0xB25B,1,0,1000,43,43,0,32,49,-59
2026-07-29T15:39:26.098+08:00,0xB25B,1,0,1000,44,44,0,32,49,-58
2026-07-29T15:39:27.097+08:00,0xB25B,1,0,1000,45,45,0,32,49,-58
2026-07-29T15:39:28.098+08:00,0xB25B,1,0,1000,46,46,0,32,49,-60
2026-07-29T15:39:29.097+08:00,0xB25B,1,0,1000,47,47,0,32,49,-59
2026-07-29T15:39:30.098+08:00,0xB25B,1,0,1000,48,48,0,32,49,-59
2026-07-29T15:39:31.096+08:00,0xB25B,1,0,1000,49,49,0,32,49,-59
2026-07-29T15:39:32.097+08:00,0xB25B,1,0,1000,50,50,0,32,49,-59
2026-07-29T15:39:33.096+08:00,0xB25B,1,0,1000,51,51,0,32,49,-59
2026-07-29T15:39:34.098+08:00,0xB25B,1,0,1000,52,52,0,32,49,-58
2026-07-29T15:39:35.099+08:00,0xB25B,1,0,1000,53,53,0,32,49,-58
2026-07-29T15:39:36.099+08:00,0xB25B,1,0,1000,54,54,0,32,49,-59
2026-07-29T15:39:37.095+08:00,0xB25B,1,0,1000,55,55,0,32,49,-57
2026-07-29T15:39:38.098+08:00,0xB25B,1,0,1000,56,56,0,32,49,-57
2026-07-29T15:39:39.098+08:00,0xB25B,1,0,1000,57,57,0,32,49,-58
2026-07-29T15:39:40.097+08:00,0xB25B,1,0,1000,58,58,0,32,49,-56
2026-07-29T15:39:40.223+08:00,0xB25B,1,1,500,59,59,0,32,49,-55
